web-scraper-order,web-scraper-start-url,Link,Link-href,name,price,capacity,type,frequency,latency,image-src
"1698053717-1","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/77934-pamiec-ram-ddr3-corsair-16gb-2x8gb-1600mhz-cl10-vengeance-xmp-black.html","Corsair 16GB (2x8GB) 1600MHz CL10 Vengeance XMP Black","429,00 zł","16 GB","DDR3","1600 MHz","CL 10","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,pr_2015_7_10_10_28_47_483.jpg"
"1698053722-2","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/117771-pamiec-ram-ddr3-corsair-8gb-1x8gb-1600mhz-cl11.html","Corsair 8GB (1x8GB) 1600MHz CL11","189,00 zł","8 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_10_41_23_732.jpg"
"1698053727-3","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/211310-pamiec-ram-ddr3-goodram-4gb-1x4gb-1333mhz-cl9.html","GOODRAM 4GB (1x4GB) 1333MHz CL9","66,99 zł","4 GB","DDR3","1333 MHz","CL 9","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_16_11_21_32_533_00.jpg"
"1698053732-4","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/215777-pamiec-ram-ddr3-gskill-8gb-2x4gb-2133mhz-cl9-ripjawsx.html","G.SKILL 8GB (2x4GB) 2133MHz CL9 RipjawsX","199,00 zł","8 GB","DDR3","2133 MHz","CL 9","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_13_27_16_965.jpg"
"1698053741-5","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/312567-pamiec-ram-ddr4-gskill-16gb-2x8gb-3000mhz-cl15-ripjaws-v-black.html","G.SKILL 16GB (2x8GB) 3000MHz CL15 Ripjaws V Black","499,00 zł","16 GB","DDR4","3000 MHz","CL 15","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_23_31_969.jpg"
"1698053752-6","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/335079-pamiec-ram-ddr4-corsair-8gb-1x8gb-2400mhz-cl16-vengeance-lpx-red.html","Corsair 8GB (1x8GB) 2400MHz CL16 Vengeance LPX Red","189,00 zł","8 GB","DDR4","2400 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_21_12_56_32_338.jpg"
"1698053758-7","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/395835-pamiec-ram-ddr4-goodram-4gb-1x4gb-2400mhz-cl17.html","GOODRAM 4GB (1x4GB) 2400MHz CL17","88,99 zł","4 GB","DDR4","2400 MHz","CL 17","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_6_9_45_24_986_01.jpg"
"1698053765-8","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/427830-pamiec-ram-ddr4-gskill-16gb-2x8gb-2666mhz-cl18-trident-z-rgb.html","G.SKILL 16GB (2x8GB) 2666MHz CL18 Trident Z RGB","369,00 zł","16 GB","DDR4","2666 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_9_10_11_472.jpg"
"1698053771-9","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/442596-pamiec-ram-ddr4-kingston-4gb-1x4gb-2666mhz-cl19.html","Kingston 4GB (1x4GB) 2666MHz CL19","89,00 zł","4 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/8/pr_2018_8_24_9_19_40_467_00.jpg"
"1698053777-10","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/460846-pamiec-ram-ddr4-patriot-8gb-1x8gb-2666mhz-cl19-signature.html","Patriot 8GB  (1x8GB) 2666MHz CL19 Signature","98,99 zł","8 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/11/pr_2018_11_8_9_12_53_706_00.jpg"
"1698053785-11","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/470224-pamiec-ram-ddr4-gskill-16gb-2x8gb-4266mhz-cl19-tridentz-royal-gold.html","G.SKILL 16GB (2x8GB) 4266MHz CL19  TridentZ Royal Gold","979,00 zł","16 GB","DDR4","4266 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/12/pr_2018_12_27_8_25_18_475_01.jpg"
"1698053794-12","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/470225-pamiec-ram-ddr4-gskill-16gb-2x8gb-3200mhz-cl16-tridentz-royal-gold.html","G.SKILL 16GB (2x8GB) 3200MHz CL16 TridentZ Royal Gold","479,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/12/pr_2018_12_27_8_36_30_736_01.jpg"
"1698053800-13","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/470232-pamiec-ram-ddr4-gskill-16gb-2x8gb-3600mhz-cl18-tridentz-royal-silver.html","G.SKILL 16GB (2x8GB) 3600MHz CL18 TridentZ Royal Silver","399,00 zł","16 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/12/pr_2018_12_27_9_5_58_169_00.jpg"
"1698053808-14","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/470954-pamiec-ram-ddr4-kingston-4gb-1x4gb-2666mhz-cl19.html","Kingston 4GB (1x4GB) 2666MHz CL19","99,00 zł","4 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_9_42_31_608.jpg"
"1698053814-15","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/488249-pamiec-ram-ddr4-corsair-16gb-2x8gb-3200mhz-cl16-dominator-platinum-rgb.html","Corsair 16GB (2x8GB) 3200MHz CL16 Dominator Platinum RGB","419,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/3/pr_2019_3_26_9_30_7_525_02.jpg"
"1698053820-16","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/509693-pamiec-ram-ddr3-kingston-8gb-1x8gb-1600mhz-cl11.html","Kingston 8GB (1x8GB) 1600MHz CL11","239,00 zł","8 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_11_53_1_610.jpg"
"1698053826-17","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/522364-pamiec-ram-ddr4-gskill-32gb-2x16gb-3200mhz-cl14-tridentz-rgb-neo.html","G.SKILL 32GB (2x16GB) 3200MHz CL14 TridentZ RGB Neo","1 019,00 zł","32 GB","DDR4","3200 MHz","CL 14","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/10/pr_2019_10_16_8_15_32_311_00.jpg"
"1698053832-18","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/541798-pamiec-ram-ddr4-gigabyte-16gb-2x8gb-2666mhz-cl16-black.html","Gigabyte 16GB (2x8GB) 2666MHz CL16 Black","599,00 zł","16 GB","DDR4","2666 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/1/pr_2020_1_29_8_10_49_50_00.jpg"
"1698053837-19","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/544077-pamiec-ram-ddr4-gskill-32gb-2x16gb-3200mhz-cl16-flarex-amd.html","G.SKILL 32GB (2x16GB) 3200MHz CL16 FlareX AMD","389,00 zł","32 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_9_0_26_844.jpg"
"1698053841-20","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/550958-pamiec-ram-ddr4-gskill-32gb-2x16gb-3200mhz-cl14-flarex-amd.html","G.SKILL 32GB (2x16GB) 3200MHz CL14 FlareX AMD","919,00 zł","32 GB","DDR4","3200 MHz","CL 14","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_9_0_26_844.jpg"
"1698053847-21","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/589549-pamiec-ram-ddr4-gskill-16gb-2x8gb-4400mhz-cl18-tridentz-rgb.html","G.SKILL 16GB (2x8GB) 4400MHz CL18 TridentZ RGB","979,00 zł","16 GB","DDR4","4400 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/2/pr_2020_2_10_9_31_49_834_01.jpg"
"1698053851-22","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/608029-pamiec-ram-serwerowa-dell-memory-upgrade-32gb-2rx8-ddr4-rdimm-3200mhz.html","Dell Memory Upgrade - 32GB - 2Rx8 DDR4 RDIMM 3200MHz","1 379,00 zł","32 GB","DDR4","3200 MHz","1,2 V","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/11/pr_2020_11_24_11_36_19_223_00.jpg"
"1698053855-23","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/608264-pamiec-ram-ddr4-corsair-16gb-2x8gb-3600mhz-cl18-vengeance.html","Corsair 16GB (2x8GB) 3600MHz CL18 Vengeance","239,00 zł","16 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_21_9_16_53_701.jpg"
"1698053861-24","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/629387-pamiec-ram-ddr4-patriot-8gb-1x8gb-2666mhz-cl19-signature-premium.html","Patriot 8GB (1x8GB) 2666MHz CL19 Signature Premium","109,00 zł","8 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/2/pr_2021_2_2_14_18_21_584_00.jpg"
"1698053867-25","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/641106-pamiec-ram-ddr4-patriot-16gb-1x16gb-2666mhz-cl19-signature-premium.html","Patriot 16GB (1x16GB) 2666MHz CL19 Signature Premium","169,00 zł","16 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/2/pr_2021_2_2_14_18_21_584_00.jpg"
"1698053873-26","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/642899-pamiec-ram-ddr4-thermaltake-16gb-2x8gb-3200mhz-cl16-toughram-z-one-rgb.html","Thermaltake 16GB (2x8GB) 3200MHz CL16 ToughRAM Z-One RGB","359,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_29_15_39_43_591_00.jpg"
"1698053877-27","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/645710-pamiec-ram-ddr4-corsair-16gb-2x8gb-3200mhz-cl16-vengeance-rgb-pro.html","Corsair 16GB (2x8GB) 3200MHz CL16 Vengeance RGB Pro","319,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/7/pr_2018_7_24_18_16_10_97_06.jpg"
"1698053883-28","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/648303-pamiec-ram-ddr4-goodram-8gb-1x8gb-3200mhz-cl16-irdm-x-white.html","GOODRAM 8GB (1x8GB) 3200MHz CL16 IRDM X White","159,00 zł","8 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/5/pr_2021_5_5_11_51_4_297_00.jpg"
"1698053888-29","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/657076-pamiec-ram-ddr4-thermaltake-16gb-2x8gb-4000mhz-cl19-toughram-rgb.html","Thermaltake 16GB (2x8GB) 4000MHz CL19 ToughRAM RGB","509,00 zł","16 GB","DDR4","4000 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_8_11_48_34_611_00.jpg"
"1698053894-30","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/658917-pamiec-ram-ddr4-patriot-64gb-2x32gb-3600mhz-cl20-viper-elite-ii.html","Patriot 64GB (2x32GB) 3600MHz CL20 Viper Elite II","949,00 zł","64 GB","DDR4","3600 MHz","CL 20","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_9_9_15_3_517_00.jpg"
"1698053899-31","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/658922-pamiec-ram-ddr4-patriot-32gb-2x16gb-4000mhz-cl20-viper-elite-ii.html","Patriot 32GB (2x16GB) 4000MHz CL20 Viper Elite II","379,00 zł","32 GB","DDR4","4000 MHz","CL 20","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_9_9_15_3_517_00.jpg"
"1698053905-32","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/658932-pamiec-ram-ddr4-patriot-16gb-2x8gb-4000mhz-cl20-viper-elite-ii.html","Patriot 16GB (2x8GB) 4000MHz CL20 Viper Elite II","229,00 zł","16 GB","DDR4","4000 MHz","CL 20","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_9_9_15_3_517_00.jpg"
"1698053911-33","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/658937-pamiec-ram-ddr4-patriot-16gb-2x8gb-3600mhz-cl20-viper-elite-ii.html","Patriot 16GB (2x8GB) 3600MHz CL20 Viper Elite II","289,00 zł","16 GB","DDR4","3600 MHz","CL 20","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_9_9_15_3_517_00.jpg"
"1698053917-34","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667829-pamiec-ram-ddr4-kingston-fury-16gb-1x16gb-3600mhz-cl18-beast-rgb.html","Kingston FURY 16GB (1x16GB) 3600MHz CL18 Beast RGB","259,00 zł","16 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_9_14_25_20_528_02.jpg"
"1698053922-35","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668000-pamiec-ram-ddr4-kingston-fury-8gb-1x8gb-2666mhz-cl13-renegade-black.html","Kingston FURY 8GB (1x8GB) 2666MHz  CL13 Renegade Black","139,00 zł","8 GB","DDR4","2666 MHz","CL 13","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_21_9_734_02.jpg"
"1698053926-36","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668015-pamiec-ram-ddr4-kingston-fury-32gb-1x32gb-2666mhz-cl15-renegade-black.html","Kingston FURY 32GB (1x32GB) 2666MHz CL15 Renegade Black","389,00 zł","32 GB","DDR4","2666 MHz","CL 15","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_21_9_734_02.jpg"
"1698053931-37","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668821-pamiec-ram-ddr3-kingston-fury-8gb-1x8gb-1600mhz-cl10-beast-black.html","Kingston FURY 8GB (1x8GB) 1600MHz CL10 Beast Black","229,00 zł","8 GB","DDR3","1600 MHz","CL 10","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_15_15_8_12_300_02.jpg"
"1698053937-38","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/669746-pamiec-ram-ddr4-gskill-16gb-2x8gb-3600mhz-cl18-tridentz-rgb.html","G.SKILL 16GB (2x8GB) 3600MHz CL18 TridentZ RGB","349,00 zł","16 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_22_14_0_57_518_01.jpg"
"1698053942-39","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/682550-pamiec-ram-ddr4-corsair-16gb2x8gb-3600mhz-cl18-vengeance-rgb-pro.html","Corsair 16GB(2x8GB) 3600MHz CL18 Vengeance RGB Pro","269,00 zł","16 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_23_14_23_21_969_00.jpg"
"1698053948-40","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/686678-pamiec-ram-ddr4-dell-memory-upgrade-8gb-1rx16-ddr4-udimm-3200mhz.html","Dell Memory Upgrade 8GB 1Rx16 DDR4 UDIMM 3200MHz","399,00 zł","8 GB","DDR4","3200 MHz","1,2 V","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_3_9_31_28_899_00.jpg"
"1698053952-41","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/692445-pamiec-ram-ddr4-goodram-32gb-1x32gb-2666mhz-cl19-dedykowana-hp.html","GOODRAM 32GB (1x32GB) 2666MHz CL19 dedykowana HP","659,00 zł","32 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_10_13_43_23_94_01.jpg"
"1698053958-42","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/692711-pamiec-ram-ddr4-goodram-16gb-1x16gb-2666mhz-cl19-dedykowana-lenovo.html","GOODRAM 16GB (1x16GB) 2666Mhz CL19 dedykowana Lenovo","319,00 zł","16 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_3_12_33_15_834_01.jpg"
"1698053963-43","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/693360-pamiec-ram-ddr5-kingston-fury-32gb-2x16gb-4800mhz-cl40.html","Kingston FURY 32GB (2x16GB) 4800MHz CL40","559,00 zł","32 GB","DDR5","4800 MHz","CL 40","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_29_13_33_39_141_00.jpg"
"1698053968-44","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/695260-pamiec-ram-ddr4-goodram-8gb-1x8gb-2666mhz-cl19-dedykowana-acer.html","GOODRAM 8GB (1x8GB) 2666MHz CL19 dedykowana Acer","199,00 zł","8 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_17_14_57_7_305_01.jpg"
"1698053973-45","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/695263-pamiec-ram-ddr4-goodram-16gb-1x16gb-2666mhz-cl19-dedykowana-acer.html","GOODRAM 16GB (1x16GB) 2666MHz CL19 dedykowana Acer","359,00 zł","16 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_17_14_22_45_523_01.jpg"
"1698053978-46","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/695265-pamiec-ram-ddr4-goodram-8gb-1x8gb-3200mhz-cl19-dedykowana-acer.html","GOODRAM 8GB (1x8GB) 3200MHz CL19 dedykowana Acer","119,00 zł","8 GB","DDR4","3200 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_17_12_2_22_778_01.jpg"
"1698053984-47","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/701441-pamiec-ram-ddr4-gskill-16gb-2x8gb-4000mhz-cl17-trident-z-royal-silver.html","G.SKILL 16GB (2x8GB) 4000MHz CL17 Trident Z Royal Silver","569,00 zł","16 GB","DDR4","4000 MHz","CL 17","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_30_9_4_10_311_00.jpg"
"1698053989-48","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/701443-pamiec-ram-ddr4-gskill-16gb-2x8gb-4400mhz-cl18-trident-z-royal-silver.html","G.SKILL 16GB (2x8GB) 4400MHz CL18  Trident Z Royal Silver","1 229,00 zł","16 GB","DDR4","4400 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_30_9_4_10_311_00.jpg"
"1698053995-49","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/703534-pamiec-ram-ddr4-goodram-8gb-1x8gb-3200mhz-cl19-dedykowana-asus.html","GOODRAM 8GB (1x8GB) 3200MHz CL19 dedykowana Asus","199,00 zł","8 GB","DDR4","3200 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_12_11_3_30_394_00.jpg"
"1698054001-50","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/704086-pamiec-ram-ddr4-gskill-32gb-2x16gb-4000mhz-cl17-ripjawsv.html","G.SKILL 32GB (2x16GB) 4000MHz CL17 RipjawsV","1 199,00 zł","32 GB","DDR4","4000 MHz","CL 17","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_8_9_59_46_321_00.jpg"
"1698054007-51","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/706576-pamiec-ram-ddr5-corsair-32gb-2x16gb-4800mhz-cl40-vengeance.html","Corsair 32GB (2x16GB) 4800MHz CL40 Vengeance","719,00 zł","32 GB","DDR5","4800 MHz","CL 40","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/1/pr_2022_1_21_9_15_33_826_00.jpg"
"1698054012-52","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/716584-pamiec-ram-ddr5-gskill-32gb-2x16gb-6000mhz-cl40-trident-z5-rgb.html","G.SKILL 32GB (2x16GB) 6000MHz CL40 Trident Z5 RGB","619,00 zł","32 GB","DDR5","6000 MHz","CL 40","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/1/pr_2022_1_25_14_34_9_602_01.jpg"
"1698054019-53","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/716586-pamiec-ram-ddr5-gskill-32gb-2x16gb-6000mhz-cl40-trident-z5-rgb.html","G.SKILL 32GB (2x16GB) 6000MHz CL40 Trident Z5 RGB","579,00 zł","32 GB","DDR5","6000 MHz","CL 40","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/1/pr_2022_1_27_14_14_45_235_01.jpg"
