web-scraper-order,web-scraper-start-url,link,link-href,name,price,diagonal,resolution,matrix,image-src
"1698054186-14","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/474649-monitor-led-32-i-wiekszy-eizo-flexscan-ev3285-wt-4k.html","Eizo FlexScan EV3285-WT 4K","4 399,00 zł","31,5""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/1/pr_2019_1_24_14_56_45_77_04.jpg"
"1698054192-15","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/480022-monitor-led-32-i-wiekszy-philips-499p9h-00-curved-hdr.html","Philips 499P9H/00 Curved HDR","4 619,00 zł","48,8""","5120 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_9_10_21_3_712_00.jpg"
"1698054198-16","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/491703-monitor-led-32-i-wiekszy-philips-329p9h-00-4k.html","Philips 329P9H/00 4K","3 589,00 zł","31,5""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/4/pr_2019_4_15_15_1_0_452_05.jpg"
"1698054203-17","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/491715-monitor-led-27-aoc-q27t1.html","AOC Q27T1","1 159,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_13_29_24_950_00.jpg"
"1698054210-18","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/492113-monitor-led-32-i-wiekszy-aoc-agon-ag353ucg-curved-hdr.html","AOC AGON AG353UCG Curved HDR","5 999,00 zł","35""","3440 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_6_6_32_55_162_00.jpg"
"1698054215-19","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/502591-monitor-led-22-benq-bl2381t-czarny.html","BenQ BL2381T czarny","859,00 zł","22,5""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_2_6_46_54_504_00.jpg"
"1698054223-20","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/507529-monitor-led-24-eizo-flexscan-ev2457-wt.html","Eizo FlexScan EV2457-WT","2 499,00 zł","24,1""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/7/pr_2019_7_27_13_30_10_796_01.jpg"
"1698054228-21","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/507530-monitor-led-24-eizo-flexscan-ev2457-bk.html","Eizo FlexScan EV2457-BK","2 499,00 zł","24,1""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/7/pr_2019_7_27_13_29_30_361_02.jpg"
"1698054233-22","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/517985-monitor-led-22-iiyama-t2234as-b1-dotykowy.html","iiyama T2234AS-B1 dotykowy","3 449,00 zł","21,5""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_16_13_37_31_810_00.jpg"
"1698054241-23","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/518152-monitor-led-24-lenovo-thinkvision-t25d-10-czarny.html","Lenovo ThinkVision T25d-10 czarny","1 149,00 zł","25""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/10/pr_2019_10_22_14_47_11_999_08.jpg"
"1698054249-24","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/518447-monitor-led-27-benq-gl2780-czarny.html","BenQ GL2780 czarny","839,00 zł","27""","1920 x 1080","LED, TN","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_2_8_19_12_734_00.jpg"
"1698054255-25","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/524356-monitor-led-32-i-wiekszy-asus-cg32uq-4k-hdr-console-gaming.html","ASUS CG32UQ 4K HDR Console Gaming","2 599,00 zł","31,5""","3840 x 2160","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_28_13_28_18_732_00.jpg"
"1698054261-26","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/534064-monitor-led-32-i-wiekszy-apple-pro-display-xdr-6k-nano.html","Apple Pro Display XDR 6K Nano","27 999,00 zł","32""","6016x 3384","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_9_20_12_774_00.jpg"
"1698054270-27","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/534458-monitor-led-27-philips-278e1a-00-4k.html","Philips 278E1A/00 4K","1 189,00 zł","27""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_9_9_15_45_462_00.jpg"
"1698054276-28","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/535432-monitor-led-27-nec-multisync-ea271f-bialy.html","Nec MultiSync EA271F biały","2 149,00 zł","27""","1920 x 1080","LED, AH-IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_2_12_40_12_13_00.jpg"
"1698054283-29","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/544454-monitor-led-21-i-mniejszy-iiyama-tf1015mc-b2-dotykowy-open-frame.html","iiyama TF1015MC-B2 dotykowy open frame","2 099,00 zł","10,1""","1280 x 800","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/2/pr_2020_2_13_10_12_5_469_08.jpg"
"1698054289-30","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/544791-monitor-led-24-philips-241e1sca-00-curved.html","Philips 241E1SCA/00 Curved","559,00 zł","23,6""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/2/pr_2020_2_14_11_52_52_998_00.jpg"
"1698054296-31","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/546241-monitor-led-24-philips-243b1-00.html","Philips 243B1/00","1 229,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_9_9_11_6_784_00.jpg"
"1698054302-32","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/546247-monitor-led-32-i-wiekszy-philips-345b1c-00-curved.html","Philips 345B1C/00 Curved","1 609,00 zł","34""","3440 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_9_10_12_40_637_00.jpg"
"1698054309-33","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/546250-monitor-led-32-i-wiekszy-philips-346p1crh-00-curved-hdr.html","Philips 346P1CRH/00 Curved HDR","2 979,00 zł","34""","3440 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_9_10_15_38_144_00.jpg"
"1698054317-34","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/549065-monitor-led-32-i-wiekszy-benq-ew3280u-czarny.html","BenQ EW3280U czarny","2 899,00 zł","32""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_30_14_9_40_735_00.jpg"
"1698054324-35","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/549858-monitor-led-24-eizo-flexscan-ev2460-wt.html","Eizo FlexScan EV2460-WT","1 649,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/3/pr_2020_3_10_9_41_12_13_07.jpg"
"1698054330-36","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/553919-monitor-led-27-acer-nitro-xv270pbmiiprx-czarny.html","Acer Nitro XV270PBMIIPRX czarny","1 099,00 zł","27""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_25_11_27_27_332_00.jpg"
"1698054337-37","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/557393-monitor-led-24-benq-gw2480t-czarny.html","BenQ GW2480T czarny","839,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_13_6_27_4_280_00.jpg"
"1698054343-38","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/560742-monitor-led-22-eizo-flexscan-ev2360-bk.html","Eizo FlexScan EV2360-BK","1 649,00 zł","22,5""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/4/pr_2020_4_21_13_45_47_863_06.jpg"
"1698054351-39","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/560745-monitor-led-27-eizo-flexscan-ev2760-bk.html","Eizo FlexScan EV2760-BK","2 539,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/4/pr_2020_4_21_13_43_24_13_07.jpg"
"1698054356-40","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/560746-monitor-led-27-eizo-flexscan-ev2760-wt.html","Eizo FlexScan EV2760-WT","2 549,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/4/pr_2020_4_21_13_40_18_700_07.jpg"
"1698054361-41","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/567188-monitor-led-24-aoc-24g2ze.html","AOC 24G2ZE","949,00 zł","23,8""","1920 x 1080","LED, TN","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_22_9_41_20_395_00.jpg"
"1698054366-42","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/577563-monitor-led-21-i-mniejszy-asus-mb14ac-przenosny.html","ASUS MB14AC przenośny","899,00 zł","14""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_25_8_27_56_690_00.jpg"
"1698054374-43","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/584012-monitor-led-21-i-mniejszy-lenovo-thinkvision-m14-czarny.html","Lenovo ThinkVision M14 czarny","1 199,00 zł","14""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/8/pr_2020_8_12_13_7_37_12_00.jpg"
"1698054383-44","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/585074-monitor-led-27-lenovo-thinkvision-p27h-20.html","Lenovo ThinkVision P27h-20","1 899,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_29_9_43_0_471_00.jpg"
"1698054389-45","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/585362-monitor-led-27-razer-raptor-27-hdr.html","Razer Raptor 27 HDR","3 999,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/8/pr_2020_8_19_10_44_9_894_00.jpg"
"1698054397-46","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/589076-monitor-led-27-eizo-flexscan-ev2795-wt.html","Eizo FlexScan EV2795-WT","2 999,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_13_57_21_333_00.jpg"
"1698054405-47","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/590368-monitor-led-32-i-wiekszy-benq-sw321c-czarny.html","BenQ SW321C czarny","9 169,00 zł","32""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_30_15_15_45_811_00.jpg"
"1698054411-48","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/594045-monitor-led-32-i-wiekszy-asus-proart-pa32ucx-pk-4k-hdr.html","ASUS ProArt PA32UCX-PK 4K HDR","12 999,00 zł","32""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_7_27_55_513_00.jpg"
"1698054416-49","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/594047-monitor-led-27-asus-proart-pa27ucx-k-4k-hdr.html","ASUS ProArt PA27UCX-K 4K HDR","8 999,00 zł","27""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_7_20_52_281_00.jpg"
"1698054422-50","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/597162-monitor-led-32-i-wiekszy-philips-345e2ae-00.html","Philips 345E2AE/00","1 679,00 zł","34""","3440 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_9_10_0_41_539_00.jpg"
"1698054428-51","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/597744-monitor-led-22-asus-va229qsb.html","ASUS VA229QSB","639,00 zł","21,5""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_24_14_7_34_145_00.jpg"
"1698054434-52","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/604445-monitor-led-32-i-wiekszy-philips-498p9-00-curved.html","Philips 498P9/00 Curved","4 279,00 zł","48,8""","5120 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_9_10_18_23_87_00.jpg"
"1698054440-53","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/612584-monitor-led-32-i-wiekszy-philips-326p1h-00.html","Philips 326P1H/00","2 099,00 zł","31,5""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_9_10_5_26_482_00.jpg"
"1698054446-54","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/615136-monitor-led-24-xiaomi-mi-desktop-1c.html","Xiaomi Mi Desktop 1C","449,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_13_10_19_8_515_00.jpg"
"1698054453-55","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/622630-monitor-led-32-i-wiekszy-eizo-ev3895-bk-curved.html","Eizo EV3895-BK Curved","8 149,00 zł","37,5""","3840 x 1600","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_14_19_31_859_00.jpg"
"1698054460-56","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/622631-monitor-led-32-i-wiekszy-eizo-ev3895-wt-curved.html","Eizo EV3895-WT Curved","8 049,00 zł","37,5""","3840 x 1600","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_14_18_50_519_00.jpg"
"1698054466-57","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/624833-monitor-led-32-i-wiekszy-asus-rog-strix-xg438qr-4k.html","ASUS ROG STRIX XG438QR 4K","4 399,00 zł","43""","3840 x 2160","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_28_14_14_1_869_00.jpg"
"1698054472-58","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/634862-monitor-led-27-lenovo-thinkvision-p27q-20.html","Lenovo ThinkVision P27q-20","2 199,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_10_14_51_40_507_00.jpg"
"1698054479-59","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/635500-monitor-led-32-i-wiekszy-samsung-odyssey-c49rg90ssrx.html","Samsung Odyssey C49RG90SSRX","5 599,00 zł","48,8""","5120 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_2_14_16_5_745_00.jpg"
"1698054485-60","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/637269-monitor-led-21-i-mniejszy-hp-e14-g4-przenosny.html","HP E14 G4 przenośny","1 379,00 zł","14""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_18_11_47_55_702_00.jpg"
"1698054491-61","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/637276-monitor-led-24-hp-e24u-g4.html","HP E24u G4","1 039,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_7_33_45_265_00.jpg"
"1698054498-62","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/637284-monitor-led-24-aoc-24p2c.html","AOC 24P2C","939,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_10_50_10_987_00.jpg"
"1698054505-63","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/638264-monitor-led-24-aoc-24b2xhm2.html","AOC 24B2XHM2","399,00 zł","23,8""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_1_16_2_24_119_08.jpg"
"1698054512-64","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/638269-monitor-led-27-aoc-27b2da.html","AOC 27B2DA","599,00 zł","27""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_6_9_51_44_757_07.jpg"
"1698054522-65","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/644572-monitor-led-24-eizo-flexscan-ev2480-wt.html","Eizo FlexScan EV2480-WT","1 949,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_15_12_27_7_996_06.jpg"
"1698054528-66","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/644573-monitor-led-24-eizo-flexscan-ev2480-bk.html","Eizo FlexScan EV2480-BK","1 949,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_15_15_18_16_41_05.jpg"
"1698054537-67","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/649125-monitor-led-27-aoc-27p2q.html","AOC 27P2Q","829,00 zł","27""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/5/pr_2021_5_25_15_50_13_608_01.jpg"
"1698054543-68","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/649132-monitor-led-27-aoc-u27p2.html","AOC U27P2","1 329,00 zł","27""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_10_50_10_987_00.jpg"
"1698054551-69","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/649136-monitor-led-27-aoc-27b2am.html","AOC 27B2AM","509,00 zł","27""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_10_9_21_227_00.jpg"
"1698054556-70","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/649138-monitor-led-27-aoc-q27v4ea.html","AOC Q27V4EA","839,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/5/pr_2021_5_27_8_39_43_909_00.jpg"
"1698054563-71","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/649141-monitor-led-32-i-wiekszy-aoc-u32e2n.html","AOC U32E2N","1 509,00 zł","31,5""","3840 x 2160","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_14_6_22_779_00.jpg"
